phrase,tsne_0,tsne_1,label
big data,-2.681684796351494,-3.928666889807992,cs
binary arithmetic,3.3470110833018003,7.476295343860603,cs
binary dependent variable,-0.755389216739428,5.398577183919895,cs
binary file,0.3393728059219882,6.796446730883327,cs
binary floating point,0.18441796672636868,8.229282704489071,cs
binary inputs,-1.442431020311924,8.224906222114043,cs
binary lexicographic code,2.46973686227205,6.651843582071041,cs
binary lexicographic codes,1.5396169269221285,7.53835694892004,cs
binary operation,-1.9956242656393717,8.782429661892367,cs
binary search tree,3.997866106954757,5.047187184203374,cs
binary search tree algorithm,4.939186315213829,2.7494922406294537,cs
binary search trees,3.9068467062710255,6.850639541083214,cs
binary space partitioning,2.979050940117583,6.181798508907647,cs
binary splitting,0.18755306284837145,8.011792909044903,cs
binary tree,1.012756339180244,7.954399255799317,cs
binary trees,1.627950806227218,8.890535406242618,cs
bio-inspired computing,6.457143715895798,-2.400517829050234,cs
biodiversity informatics,3.4182350481008097,-2.292613387978899,cs
biologically inspired computing,5.2131709169018405,-3.470120073126339,cs
bit array,2.643155931409816,0.6788949166240446,cs
bit sequences,1.1643495344102135,-0.19313684001726036,cs
bit slicing,0.046557604981745424,1.8789704576470942,cs
bit string,-1.1784968557615634,3.0115044855610025,cs
bitwise operation,-2.6947549507919266,3.485864418634481,cs
bitwise operations,-0.30508404231606145,2.6975721977132614,cs
block lanczos algorithm,2.8623333277618763,3.0814424580844597,cs
boltzmann learning rule,2.6926787433610433,0.2957716789323681,cs
bonferroni testing,2.5784244283658273,-0.15798063795739423,cs
boolean algebra,6.671599746134631,2.9259851592262316,cs
boolean function,4.6865764549545545,2.8734801951536886,cs
boolean functions,4.759842707885573,2.8915570727671978,cs
boolean logic,4.200307348177674,4.048286977738314,cs
boolean operators,4.321304454045992,2.865155127832734,cs
boosting methods,-2.00831968756949,-3.9330297608963205,cs
boundary singularity,-0.8762244983337765,4.2364249023938445,cs
bsp tree,0.2409105443034427,0.2518685641410022,cs
buffer overflows,1.3825385393194352,2.3844552714788154,cs
buffer overflowsruntime error detection tools,5.044656246678636,3.3212455611775193,cs
c4 model,0.21037253823046215,0.5641929806300251,cs
caesar cipher,1.9224329435156942,4.209969638497488,cs
caesar shift,-0.9013363578559445,3.416319361836031,cs
categorical label,-3.835607314021095,1.3647894041690083,cs
category theory,3.0651509310816545,-0.9325152622556374,cs
character recognition,-2.023739585846357,-2.7383653658781797,cs
character sets,-0.23934659069654338,-1.8364632802044158,cs
characteristic polynomial,0.7718138770194839,0.8345533749630485,cs
chi-square automatic interaction detection,1.8849845697717325,-3.6173223540904695,cs
child nodes,-0.04192456795965599,-1.5452842017545632,cs
child vertices,0.3436000672123806,-1.3350135465538135,cs
